İLÇE,OKUL ADI,2022,2023,2024,2025 Tahmin,ALAN,OKUL TÜRÜ,2024 Hata
ALTINDAĞ (MERKEZ),Mahir İz Anadolu İmam Hatip Lisesi,43.66,41.88,37.92,31.78 – 36.14,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,2.1799999999999997
ALTINDAĞ (MERKEZ),İskitler Mesleki ve Teknik Anadolu Lisesi,57.6,50.83,37.95,18.96 – 31.18,ENDÜSTRİYEL OTOMASYON TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı,6.109999999999999
PURSAKLAR,Güzide Ülker Mesleki ve Teknik Anadolu Lisesi,40.56,39.5,39.18,38.12 – 39.6,ULAŞTIRMA HİZMETLERİ ALANI,Anadolu Teknik Programı,0.740000000000002
SİNCAN (MERKEZ),Şehit Erdal Koçak Mesleki ve Teknik Anadolu Lisesi,37.32,40.23,40.41,37.86 – 43.32,ADALET ALANI,Anadolu Teknik Programı,2.7299999999999898
ÇANKAYA (MERKEZ),Tapu Kadastro Mesleki ve Teknik Anadolu Lisesi,37.37,39.37,40.94,42.08 – 42.94,HARİTA-TAPU-KADASTRO ALANI,Anadolu Teknik Programı,0.4299999999999997
MAMAK (MERKEZ),Abidinpaşa Mesleki ve Teknik Anadolu Lisesi,36.69,43.24,43.19,36.54 – 49.74,MAKİNE VE TASARIM TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,6.6000000000000085
MAMAK (MERKEZ),Abidinpaşa Mesleki ve Teknik Anadolu Lisesi,36.69,43.24,43.71,38.1 – 50.26,BİYOMEDİKAL CİHAZ TEKNOLOJİLERİ ALANI,Anadolu Teknik Programı,6.080000000000005
ALTINDAĞ (MERKEZ),Ulus Mesleki ve Teknik Anadolu Lisesi,51.73,48.64,44.54,39.43 – 41.45,ELEKTRİK-ELEKTRONİK TEKNOLOJİSİ ALANI,Anadolu Teknik Programı,1.0100000000000122
ALTINDAĞ (MERKEZ),Ankara Mesleki ve Teknik Anadolu Lisesi,41.91,43.59,44.58,44.88 – 46.26,ADALET ALANI,Anadolu Teknik Programı,0.6900000000000119
KIZILCAHAMAM,Şehit Zekeriya Yurdakul Anadolu İmam Hatip Lisesi,89.76,89.63,44.59,0 – 44.46,FEN VE SOSYAL BİLİMLER PROGRAMI,Anadolu İmam Hatip Lisesi,44.90999999999997
GÖLBAŞI,Şehit Sebahattin Koçak Kız Anadolu İmam Hatip Lisesi,49.14,42.97,44.66,38.49 – 54.21,AİHL ÇOCUK GELİŞİMİ VE EĞİTİMİ PROGRAMI,Anadolu İmam Hatip Lisesi,7.859999999999999
